clock_id,name,year,species,data_type,generation,tissue,tissue_class,population,population_class,training_target,target_class,translage_trained_phenotype,predicts,platform,n_features,unit,scale_type,legal_operations,model_type,availability,ships_coefficients,profile_key,n_same_profile,peers_same_profile,n_same_tissue_class,n_same_target_class,feature_overlap_partner,feature_overlap_jaccard,feature_overlap_shared,feature_overlap_note,external_catalogues,external_catalogue_urls,training_cohort_note,verify_url,verify_url_kind,verify_url_status,coefficient_source_url,citation
pcgrimage,pcgrimage,2022,Homo sapiens,dna_methylation,second,whole blood,whole_blood,adults,adults,DNAm GrimAge output,clock_output,Mortality,mortality risk,450K,,years,age_years,acceleration; correlate; difference; mean; residual,PCA + elastic net regression,licensed,no,Homo sapiens|whole_blood|adults|clock_output,3,pcdnamtl; pchannum,101,5,,,,features not distributed for this clock,translage,https://www.translage.io,,https://doi.org/10.1038/s43587-022-00248-2,doi,200 ok,,"Higgins-Chen, Albert T., et al. ""A computational solution for bolstering reliability of epigenetic clocks: implications for clinical trials and longitudinal tracking."" Nature Aging 2 (2022): 644–661."
pchannum,pchannum,2022,Homo sapiens,dna_methylation,other,whole blood,whole_blood,adults,adults,Hannum clock output,clock_output,Chronological Age,chronological age,450K,,years,age_years,acceleration; correlate; difference; mean; residual,PCA + elastic net regression,untraced,no,Homo sapiens|whole_blood|adults|clock_output,3,pcdnamtl; pcgrimage,101,5,,,,features not distributed for this clock,translage,https://www.translage.io,,https://doi.org/10.1038/s43587-022-00248-2,doi,200 ok,,"Higgins-Chen, Albert T., et al. ""A computational solution for bolstering reliability of epigenetic clocks: implications for clinical trials and longitudinal tracking."" Nature Aging 2 (2022): 644–661."
pcskinandblood,pcskinandblood,2022,Homo sapiens,dna_methylation,other,skin; whole blood; cultured fibroblasts,whole_blood,all ages,all_ages,skin-and-blood clock output,clock_output,,chronological age,450K; EPICv1,,years,age_years,acceleration; correlate; difference; mean; residual,PCA + elastic net regression,untraced,no,Homo sapiens|whole_blood|all_ages|clock_output,1,,101,5,,,,features not distributed for this clock,,,,https://doi.org/10.1038/s43587-022-00248-2,doi,200 ok,,"Higgins-Chen, Albert T., et al. ""A computational solution for bolstering reliability of epigenetic clocks: implications for clinical trials and longitudinal tracking."" Nature Aging 2 (2022): 644–661."
adbahadosingh,adbahadosingh,2021,Homo sapiens,dna_methylation,other,whole blood,whole_blood,older adults,older_adults,late-onset Alzheimer's disease,disease,,late-onset Alzheimer's disease,EPICv1,,probability,relative_score,correlate; rank,logistic regression,untraced,no,Homo sapiens|whole_blood|older_adults|disease,1,,101,5,,,,features not distributed for this clock,biolearn,https://github.com/bio-learn/biolearn,,https://doi.org/10.1371/journal.pone.0248375,doi,200 ok,,"Bahado-Singh, R. O., Vishweswaraiah, S., Aydas, B., et al. (2021). Artificial intelligence and leukocyte epigenomics: Evaluation and prediction of late-onset Alzheimer's disease. PLOS ONE, 16(4), e0248375."
cvdwesterman,cvdwesterman,2020,Homo sapiens,dna_methylation,other,whole blood,whole_blood,adults,adults,cardiovascular disease,disease,,cardiovascular disease risk,450K,,probability,relative_score,correlate; rank,elastic net Cox ensemble,untraced,no,Homo sapiens|whole_blood|adults|disease,2,depressionbarbu,101,5,,,,features not distributed for this clock,biolearn,https://github.com/bio-learn/biolearn,,https://doi.org/10.1161/jaha.119.015299,doi,403 publisher blocks bots; DOI registered in Crossref,,"Westerman, K. et al. Epigenomic assessment of cardiovascular disease risk and interactions with traditional risk metrics. Journal of the American Heart Association 9, e015299 (2020)."
depressionbarbu,depressionbarbu,2021,Homo sapiens,dna_methylation,other,whole blood,whole_blood,adults,adults,major depressive disorder,disease,,major depressive disorder,EPICv1,,unitless,relative_score,correlate; rank,elastic net regression,untraced,no,Homo sapiens|whole_blood|adults|disease,2,cvdwesterman,101,5,,,,features not distributed for this clock,biolearn,https://github.com/bio-learn/biolearn,,https://doi.org/10.1038/s41380-020-0808-3,doi,200 ok,,"Barbu, Miruna C., et al. ""Epigenetic prediction of major depressive disorder."" Molecular Psychiatry 26.9 (2021): 5112-5123."
grimage2packyrs,grimage2packyrs,2022,Homo sapiens,dna_methylation,other,whole blood,whole_blood,older adults,older_adults,smoking exposure,exposure,,smoking exposure,450K,,pack-years,relative_score,correlate; rank,elastic net regression,licensed,no,Homo sapiens|whole_blood|older_adults|exposure,1,,101,8,,,,features not distributed for this clock,,,,https://doi.org/10.18632/aging.204434,doi,403 publisher blocks bots; DOI registered in Crossref,,"Lu, A. T., et al. “DNA methylation GrimAge version 2.” Aging 14(23): 9484–9549 (2022)."
mccartneyalcohol,mccartneyalcohol,2018,Homo sapiens,dna_methylation,other,whole blood,whole_blood,adults,adults,alcohol consumption,exposure,,alcohol consumption,EPICv1,450,units per week,gestational_weeks,acceleration; correlate; difference; mean; residual,LASSO regression,bundled,yes,Homo sapiens|whole_blood|adults|exposure,6,mccartneybmi; mccartneyeducation; mccartneysmoking; mccartneywhr; pcgrimagepackyrs,101,8,mccartneytotalhdlratio,0.0129,11,,biolearn; methylcipher,https://github.com/bio-learn/biolearn; https://github.com/HigginsChenLab/methylCIPHER,,https://doi.org/10.1186/s13059-018-1514-1,doi,200 ok,https://doi.org/10.1186/s13059-018-1514-1,"McCartney, D. L., et al. “Epigenetic prediction of complex traits and death.” Genome Biology 19, 136 (2018)."
mccartneybmi,mccartneybmi,2018,Homo sapiens,dna_methylation,other,whole blood,whole_blood,adults,adults,body mass index,exposure,,body mass index,EPICv1,1109,unitless,relative_score,correlate; rank,LASSO regression,bundled,yes,Homo sapiens|whole_blood|adults|exposure,6,mccartneyalcohol; mccartneyeducation; mccartneysmoking; mccartneywhr; pcgrimagepackyrs,101,8,mccartneybodyfat,0.2497,415,,biolearn,https://github.com/bio-learn/biolearn,,https://doi.org/10.1186/s13059-018-1514-1,doi,200 ok,https://doi.org/10.1186/s13059-018-1514-1,"McCartney, D. L., et al. “Epigenetic prediction of complex traits and death.” Genome Biology 19, 136 (2018)."
mccartneyeducation,mccartneyeducation,2018,Homo sapiens,dna_methylation,other,whole blood,whole_blood,adults,adults,educational attainment,exposure,,educational attainment,EPICv1,373,unitless,relative_score,correlate; rank,LASSO regression,bundled,yes,Homo sapiens|whole_blood|adults|exposure,6,mccartneyalcohol; mccartneybmi; mccartneysmoking; mccartneywhr; pcgrimagepackyrs,101,8,mccartneywhr,0.0067,4,,biolearn,https://github.com/bio-learn/biolearn,,https://doi.org/10.1186/s13059-018-1514-1,doi,200 ok,https://doi.org/10.1186/s13059-018-1514-1,"McCartney, D. L., et al. “Epigenetic prediction of complex traits and death.” Genome Biology 19, 136 (2018)."
